"filename", "language", "JavaScript", "Vue", "comment", "blank", "total"
"c:\Users\LINAS\Desktop\NewsPageVue\src\App.vue", "Vue", 0, -2, 0, -4, -6
"c:\Users\LINAS\Desktop\NewsPageVue\src\components\LatestNews.vue", "Vue", 0, -3, 0, 0, -3
"c:\Users\LINAS\Desktop\NewsPageVue\src\components\NewsArticle.vue", "Vue", 0, 0, 0, -3, -3
"c:\Users\LINAS\Desktop\NewsPageVue\src\components\NewsCategories.vue", "Vue", 0, 4, 0, 1, 5
"c:\Users\LINAS\Desktop\NewsPageVue\src\components\ThemeToggle.vue", "Vue", 0, 0, 0, -1, -1
"c:\Users\LINAS\Desktop\NewsPageVue\src\main.js", "JavaScript", 0, 0, 0, 1, 1
"c:\Users\LINAS\Desktop\NewsPageVue\src\pages\HomePage.vue", "Vue", 0, -1, 0, -2, -3
"c:\Users\LINAS\Desktop\NewsPageVue\src\pages\NewsPage.vue", "Vue", 0, -5, -2, -1, -8
"c:\Users\LINAS\Desktop\NewsPageVue\src\pages\NotFound.vue", "Vue", 0, -3, 0, -1, -4
"c:\Users\LINAS\Desktop\NewsPageVue\src\router\index.js", "JavaScript", -3, 0, 0, 0, -3
"Total", "-", -3, -10, -2, -10, -25
