"filename", "language", "JavaScript", "Vue", "CSS", "comment", "blank", "total"
"c:\Users\LINAS\Desktop\NewsPageVue\src\App.vue", "Vue", 0, 14, 0, 0, 3, 17
"c:\Users\LINAS\Desktop\NewsPageVue\src\assets\base.css", "CSS", 0, 0, 38, 0, 16, 54
"c:\Users\LINAS\Desktop\NewsPageVue\src\assets\main.css", "CSS", 0, 0, 39, 0, 7, 46
"c:\Users\LINAS\Desktop\NewsPageVue\src\components\BurgerMenu.vue", "Vue", 0, 29, 0, 0, 4, 33
"c:\Users\LINAS\Desktop\NewsPageVue\src\components\ContentContainer.vue", "Vue", 0, 76, 0, 0, 8, 84
"c:\Users\LINAS\Desktop\NewsPageVue\src\components\LatestNews.vue", "Vue", 0, 290, 0, 0, 59, 349
"c:\Users\LINAS\Desktop\NewsPageVue\src\components\NewsArticle.vue", "Vue", 0, 124, 0, 0, 16, 140
"c:\Users\LINAS\Desktop\NewsPageVue\src\components\NewsCategories.vue", "Vue", 0, 52, 0, 0, 7, 59
"c:\Users\LINAS\Desktop\NewsPageVue\src\components\ThemeToggle.vue", "Vue", 0, 55, 0, 0, 6, 61
"c:\Users\LINAS\Desktop\NewsPageVue\src\components\layout\TheHeader.vue", "Vue", 0, 72, 0, 0, 13, 85
"c:\Users\LINAS\Desktop\NewsPageVue\src\data.js", "JavaScript", 793, 0, 0, 0, 4, 797
"c:\Users\LINAS\Desktop\NewsPageVue\src\main.js", "JavaScript", 7, 0, 0, 0, 7, 14
"c:\Users\LINAS\Desktop\NewsPageVue\src\pages\HomePage.vue", "Vue", 0, 4, 0, 0, 2, 6
"c:\Users\LINAS\Desktop\NewsPageVue\src\pages\NewsPage.vue", "Vue", 0, 28, 0, 0, 6, 34
"c:\Users\LINAS\Desktop\NewsPageVue\src\pages\NotFound.vue", "Vue", 0, 4, 0, 0, 2, 6
"c:\Users\LINAS\Desktop\NewsPageVue\src\pages\ReviewsPage.vue", "Vue", 0, 4, 0, 0, 2, 6
"c:\Users\LINAS\Desktop\NewsPageVue\src\router\index.js", "JavaScript", 52, 0, 0, 0, 8, 60
"Total", "-", 852, 752, 77, 0, 170, 1851
